ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
90620,Orange,Yes,Yes,No,Yes,Yes
90621,Orange,Yes,Yes,No,Yes,Yes
90622,Orange,Yes,Yes,No,Yes,Yes
90623,Orange,Yes,Yes,No,Yes,Yes
90624,Orange,Yes,Yes,No,Yes,Yes
90630,Orange,Yes,Yes,No,Yes,Yes
90631,Orange,Yes,Yes,No,Yes,Yes
90632,Orange,Yes,Yes,No,Yes,Yes
90633,Orange,Yes,Yes,No,Yes,Yes
90680,Orange,Yes,Yes,No,Yes,Yes
90720,Orange,Yes,Yes,No,Yes,Yes
90721,Orange,Yes,Yes,No,Yes,Yes
90740,Orange,Yes,Yes,No,Yes,Yes
90742,Orange,Yes,Yes,No,Yes,Yes
90743,Orange,Yes,Yes,No,Yes,Yes
92602,Orange,Yes,Yes,No,Yes,Yes
92603,Orange,Yes,Yes,No,Yes,Yes
92604,Orange,Yes,Yes,No,Yes,Yes
92605,Orange,Yes,Yes,No,Yes,Yes
92606,Orange,Yes,Yes,No,Yes,Yes
92607,Orange,Yes,Yes,No,Yes,Yes
92609,Orange,Yes,Yes,No,Yes,Yes
92610,Orange,Yes,Yes,No,Yes,Yes
92612,Orange,Yes,Yes,No,Yes,Yes
92614,Orange,Yes,Yes,No,Yes,Yes
92615,Orange,Yes,Yes,No,Yes,Yes
92616,Orange,Yes,Yes,No,Yes,Yes
92617,Orange,Yes,Yes,No,Yes,Yes
92618,Orange,Yes,Yes,No,Yes,Yes
92619,Orange,Yes,Yes,No,Yes,Yes
92620,Orange,Yes,Yes,No,Yes,Yes
92623,Orange,Yes,Yes,No,Yes,Yes
92624,Orange,Yes,Yes,No,Yes,Yes
92625,Orange,Yes,Yes,No,Yes,Yes
92626,Orange,Yes,Yes,No,Yes,Yes
92627,Orange,Yes,Yes,No,Yes,Yes
92628,Orange,Yes,Yes,No,Yes,Yes
92629,Orange,Yes,Yes,No,Yes,Yes
92630,Orange,Yes,Yes,No,Yes,Yes
92637,Orange,Yes,Yes,No,Yes,Yes
92646,Orange,Yes,Yes,No,Yes,Yes
92647,Orange,Yes,Yes,No,Yes,Yes
92648,Orange,Yes,Yes,No,Yes,Yes
92649,Orange,Yes,Yes,No,Yes,Yes
92650,Orange,Yes,Yes,No,Yes,Yes
92651,Orange,Yes,Yes,No,Yes,Yes
92652,Orange,Yes,Yes,No,Yes,Yes
92653,Orange,Yes,Yes,No,Yes,Yes
92654,Orange,Yes,Yes,No,Yes,Yes
92655,Orange,Yes,Yes,No,Yes,Yes
92656,Orange,Yes,Yes,No,Yes,Yes
92657,Orange,Yes,Yes,No,Yes,Yes
92658,Orange,Yes,Yes,No,Yes,Yes
92659,Orange,Yes,Yes,No,Yes,Yes
92660,Orange,Yes,Yes,No,Yes,Yes
92661,Orange,Yes,Yes,No,Yes,Yes
92662,Orange,Yes,Yes,No,Yes,Yes
92663,Orange,Yes,Yes,No,Yes,Yes
92672,Orange,Yes,Yes,No,Yes,Yes
92673,Orange,Yes,Yes,No,Yes,Yes
92674,Orange,Yes,Yes,No,Yes,Yes
92675,Orange,Yes,Yes,No,Yes,Yes
92676,Orange,Yes,Yes,No,Yes,Yes
92677,Orange,Yes,Yes,No,Yes,Yes
92678,Orange,Yes,Yes,No,Yes,Yes
92679,Orange,Yes,Yes,No,Yes,Yes
92683,Orange,Yes,Yes,No,Yes,Yes
92684,Orange,Yes,Yes,No,Yes,Yes
92685,Orange,Yes,Yes,No,Yes,Yes
92688,Orange,Yes,Yes,No,Yes,Yes
92690,Orange,Yes,Yes,No,Yes,Yes
92691,Orange,Yes,Yes,No,Yes,Yes
