Diagnosis_Code,Description,CMS-HCC Model Category V28,Potential Co-existing Diagnoses
A0103,Typhoid pneumonia,
A0104,Typhoid arthritis,92,M069 (25%); M08859 (18%); M0880 (18%); M08819 (18%); M08849 (18%)
A0105,Typhoid osteomyelitis,92,A021 (0%); A065 (0%); A072 (0%); A207 (0%); A227 (0%)
A021,Salmonella sepsis,2,A0223 (73%); A0224 (70%); B377 (34%); A0104 (0%); A0105 (0%)
A0222,Salmonella pneumonia,,
A0223,Salmonella arthritis,92,A021 (73%); M069 (26%); M08859 (18%); M0880 (18%); M08819 (18%)
A0224,Salmonella osteomyelitis,92,A021 (70%); A065 (0%); A072 (0%); A207 (0%); A227 (0%)
A065,Amebic lung abscess,283,K50914 (35%); K51814 (33%); K651 (32%); K6819 (32%); K51914 (32%)
A072,Cryptosporidiosis,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
A202,Pneumonic plague,,
A207,Septicemic plague,2,A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%); A065 (0%)
A212,Pulmonary tularemia,,
A221,Pulmonary anthrax,,
A227,Anthrax sepsis,2,B377 (32%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A267,Erysipelothrix sepsis,2,B377 (32%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A310,Pulmonary mycobacterial infection,6,J440 (36%); I2782 (34%); J810 (33%); I279 (31%); I2720 (30%)
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),6,C800 (28%); G369 (21%); B007 (21%); G368 (20%); R5601 (19%)
A327,Listerial sepsis,2,B377 (32%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A3681,Diphtheritic cardiomyopathy,227,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
A3684,Diphtheritic tubulo-interstitial nephropathy,,
A391,Waterhouse-Friderichsen syndrome,,
A392,Acute meningococcemia,2,M86159 (27%); M86152 (26%); M86151 (26%); M8618 (26%); M8610 (25%)
A393,Chronic meningococcemia,2,M8668 (19%); M8660 (18%); M86619 (18%); M86649 (18%); K739 (18%)
A394,"Meningococcemia, unspecified",2,G8330 (12%); L97909 (12%); G8190 (12%); C8510 (12%); M08959 (12%)
A3983,Meningococcal arthritis,92,M069 (24%); M08859 (17%); M0880 (17%); M08819 (17%); M08849 (17%)
A3984,Postmeningococcal arthritis,92,M069 (24%); M08859 (17%); M0880 (17%); M08819 (17%); M08849 (17%)
A400,"Sepsis due to streptococcus, group A",2,T362X2A (33%); B377 (27%); A0104 (0%); A0105 (0%); A0223 (0%)
A401,"Sepsis due to streptococcus, group B",2,T362X2A (33%); B377 (27%); A0104 (0%); A0105 (0%); A0223 (0%)
A403,Sepsis due to Streptococcus pneumoniae,2,J150 (39%); B377 (26%); A0104 (0%); A0105 (0%); A0223 (0%)
A408,Other streptococcal sepsis,2,M00259 (51%); M00219 (51%); M00249 (51%); M00252 (50%); M00251 (50%)
A409,"Streptococcal sepsis, unspecified",2,M00259 (56%); M00219 (55%); M00249 (55%); M00229 (54%); M00269 (54%)
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,2,J15211 (86%); J15212 (61%); J1529 (32%); J1520 (31%); B377 (20%)
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,2,J15212 (86%); J15211 (61%); J1529 (32%); J1520 (31%); B377 (20%)
A411,Sepsis due to other specified staphylococcus,2,J1529 (52%); J1520 (51%); B377 (34%); J15211 (30%); J15212 (30%)
A412,Sepsis due to unspecified staphylococcus,2,J1520 (59%); J1529 (55%); B377 (36%); J15211 (32%); J15212 (32%)
A413,Sepsis due to Hemophilus influenzae,2,B377 (25%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A414,Sepsis due to anaerobes,2,B377 (34%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A4150,"Gram-negative sepsis, unspecified",2,J156 (64%); J1569 (64%); B377 (28%); C8470 (27%); C847A (24%)
A4151,Sepsis due to Escherichia coli [E. coli],2,J155 (78%); B377 (18%); A0104 (0%); A0105 (0%); A0223 (0%)
A4152,Sepsis due to Pseudomonas,2,J151 (64%); B377 (34%); A0104 (0%); A0105 (0%); A0223 (0%)
A4153,Sepsis due to Serratia,2,B377 (32%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A4154,Sepsis due to Acinetobacter baumannii,2,J1561 (78%); B377 (26%); A0104 (0%); A0105 (0%); A0223 (0%)
A4159,Other Gram-negative sepsis,2,J156 (65%); J1569 (65%); B377 (29%); C8470 (25%); C847A (24%)
A4181,Sepsis due to Enterococcus,2,B377 (32%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A4189,Other specified sepsis,2,B377 (48%); M068A (42%); E1369 (41%); M06859 (27%); M0680 (27%)
A419,"Sepsis, unspecified organism",2,B377 (32%); G8330 (9%); L97909 (9%); G8190 (9%); C8510 (9%)
A420,Pulmonary actinomycosis,,
A427,Actinomycotic sepsis,2,B377 (32%); A0104 (0%); A0105 (0%); A0223 (0%); A0224 (0%)
A430,Pulmonary nocardiosis,,
A480,Gas gangrene,263,T593X2A (39%); T594X2A (39%); J850 (38%); N493 (34%); T5812XA (32%)
A481,Legionnaires' disease,282,G959 (22%); I120 (21%); G20 (19%); G308 (19%); B259 (18%)
A483,Toxic shock syndrome,2,R579 (72%); R570 (48%); E340 (26%); G839 (25%); G8382 (23%)
A5055,Late congenital syphilitic arthropathy,92,G301 (33%); G112 (32%); G7129 (29%); G7120 (28%); Q038 (28%)
A5440,"Gonococcal infection of musculoskeletal system, unspecified",92,A5486 (46%); A5485 (40%); K9402 (26%); K9422 (26%); T8623 (25%)
A5441,Gonococcal spondylopathy,92,A5486 (50%); A5485 (45%); A021 (0%); A065 (0%); A072 (0%)
A5442,Gonococcal arthritis,92,A5486 (70%); A5485 (62%); M069 (27%); M08859 (20%); M0880 (20%)
A5443,Gonococcal osteomyelitis,92,A5486 (67%); A5485 (59%); A021 (0%); A065 (0%); A072 (0%)
A5449,Gonococcal infection of other musculoskeletal tissue,92,A5486 (41%); A5485 (36%); K9402 (23%); K9422 (23%); C499 (23%)
A5484,Gonococcal pneumonia,,
A5485,Gonococcal peritonitis,78,A5442 (62%); A5443 (59%); A5486 (54%); A5441 (45%); A5440 (40%)
A5486,Gonococcal sepsis,2,A5442 (70%); A5443 (67%); A5485 (54%); A5441 (50%); A5440 (46%)
A666,Bone and joint lesions of yaws,92,S78019A (23%); S48019A (23%); S78012A (23%); S78011A (23%); S48012A (23%)
A6923,Arthritis due to Lyme disease,92,M05359 (24%); M0530 (24%); M05159 (24%); M0510 (24%); M05319 (24%)
A8100,"Creutzfeldt-Jakob disease, unspecified",127,G959 (22%); K50919 (20%); B259 (18%); I279 (18%); M02359 (18%)
A8101,Variant Creutzfeldt-Jakob disease,127,G959 (14%); I120 (13%); G20 (12%); B259 (12%); I279 (12%)
A8109,Other Creutzfeldt-Jakob disease,127,G959 (17%); I120 (16%); G20 (15%); B259 (15%); I279 (15%)
A811,Subacute sclerosing panencephalitis,127,K654 (39%); K8301 (35%); M86259 (33%); M86252 (32%); M86251 (32%)
A812,Progressive multifocal leukoencephalopathy,127,M340 (36%); G9343 (35%); M86359 (33%); M86352 (33%); M86351 (33%)
A8181,Kuru,127,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
A8182,Gerstmann-Straussler-Scheinker syndrome,127,E340 (16%); G839 (15%); G8382 (14%); G8383 (14%); D469 (12%)
A8183,Fatal familial insomnia,127,E8331 (35%); G1224 (31%); G901 (24%); A0104 (0%); A0105 (0%)
A8189,Other atypical virus infections of central nervous system,127,C729 (44%); D339 (40%); G370 (37%); G379 (36%); G378 (34%)
A819,"Atypical virus infection of central nervous system, unspecified",127,C729 (51%); D339 (46%); G379 (42%); G370 (40%); D439 (38%)
A985,Hemorrhagic fever with renal syndrome,,
B007,Disseminated herpesviral disease,2,C800 (48%); B447 (41%); B457 (41%); B464 (41%); G369 (36%)
B0082,Herpes simplex myelitis,182,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
